,summary,config,name
0,"{'_runtime': 1424.19807297, '_step': 118, '_timestamp': 1739804979.9436874, '_wandb': {'runtime': 1424}, 'best_epoch': 68, 'epoch': 118, 'lr': 0.00025, 'test_loss': 0.021418015856946273, 'time': 1407.7273120880127, 'train_loss': 0.006726103879156567, 'val_loss': 0.18159211502366124}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 50, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 20, 'control_rnn_size': 16, 'control_rnn_depth': 1}",001___default-code
1,"{'_runtime': 1070.703141513, '_step': 111, '_timestamp': 1739814761.0070615, '_wandb': {'runtime': 1070}, 'best_epoch': 92, 'best_test': 0.0681478695736991, 'best_train': 0.01412739430273336, 'best_val': 0.030376552145869012, 'epoch': 112, 'lr': 0.00025, 'test_loss': 0.09295472121309668, 'time': 1047.422713279724, 'train_loss': 0.013990370265981824, 'val_loss': 0.037367201099793114}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",002___default-code
2,"{'_runtime': 7546.45702, '_step': 117, '_timestamp': 1741182593.7156532, '_wandb': {'runtime': 7546}, 'best_epoch': 98, 'best_test': 0.03409814938075013, 'best_train': 0.018149984931504284, 'best_val': 0.028380416333675385, 'epoch': 118, 'lr': 0.000125, 'test_loss': 0.03472252781428988, 'time': 7528.629385232925, 'train_loss': 0.015891212812334143, 'val_loss': 0.03212327557423758}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 10, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",017___default-code-same-dim
3,"{'_runtime': 7346.7665658, '_step': 106, '_timestamp': 1741430459.320042, '_wandb': {'runtime': 7346}, 'best_epoch': 87, 'best_test': 0.025843684265892657, 'best_train': 0.014283652101993245, 'best_val': 0.02398856176388642, 'epoch': 107, 'lr': 0.000125, 'test_loss': 0.026321270325708957, 'time': 7328.914924144745, 'train_loss': 0.014671892942811446, 'val_loss': 0.026048427477242456}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 10, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",026___default-code-same-dim
4,"{'_runtime': 8290.5964382, '_step': 126, '_timestamp': 1741431693.8628545, '_wandb': {'runtime': 8290}, 'best_epoch': 107, 'best_test': 0.027500419862686643, 'best_train': 0.01666778990772193, 'best_val': 0.05470035585855681, 'epoch': 127, 'lr': 0.00025, 'test_loss': 0.027228796898963903, 'time': 8272.850373268127, 'train_loss': 0.014251226118258223, 'val_loss': 0.06482056906772038}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 10, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",027___default-code-same-dim
5,"{'_runtime': 13967.7160078, '_step': 127, '_timestamp': 1742439179.7070515, '_wandb': {'runtime': 13968}, 'batch_size': 128, 'best_epoch': 107, 'best_test': 0.026796013301622772, 'best_train': 0.022122922061484248, 'best_val': 0.03483917065970008, 'coeff_train': 0, 'epoch': 127, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.02568249670892126, 'time': 13939.861764431, 'train_loss': 0.019775001585936893, 'val_loss': 0.03675157647757303}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",052___fhn-default-code
6,"{'_runtime': 9794.1529896, '_step': 117, '_timestamp': 1742466946.665296, '_wandb': {'runtime': 9861}, 'batch_size': 128, 'best_epoch': 112, 'best_test': 0.033960099849436015, 'best_train': 0.013545496137960562, 'best_val': 0.06969134811134566, 'coeff_train': 0, 'epoch': 117, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.03329164023318934, 'time': 9766.92120027542, 'train_loss': 0.013237217680191395, 'val_loss': 0.07226177934734594}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",053___vdp-default-code
7,"{'_runtime': 14134.5090488, '_step': 116, '_timestamp': 1742865891.1030476, '_wandb': {'runtime': 14135}, 'batch_size': 128, 'best_epoch': 96, 'best_test': 0.04277103281919918, 'best_train': 0.011066150287333777, 'best_val': 0.07192236853260843, 'epoch': 116, 'lr': 6.25e-05, 'n_epochs': 250, 'test_loss': 0.04283695877899253, 'time': 14107.645243167875, 'train_loss': 0.01089941567825104, 'val_loss': 0.07692128082826025}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 250, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",test6_old_1-128-20-001
8,"{'_runtime': 7843.0108799, '_step': 114, '_timestamp': 1742873741.0593288, '_wandb': {'runtime': 7844}, 'batch_size': 128, 'best_epoch': 94, 'best_test': 0.03525627170881582, 'best_train': 0.012777032503099353, 'best_val': 0.05540901877813869, 'epoch': 114, 'lr': 6.25e-05, 'n_epochs': 250, 'test_loss': 0.03393007214698526, 'time': 7818.152229309082, 'train_loss': 0.012021505197500268, 'val_loss': 0.058342598910842626}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 250, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",test6_old_2-128-20-0005
9,"{'_runtime': 4602.6528911, '_step': 63, '_timestamp': 1742878351.6279695, '_wandb': {'runtime': 4603}, 'batch_size': 128, 'best_epoch': 43, 'best_test': 0.038823794218755904, 'best_train': 0.01550794529319598, 'best_val': 0.06390836973866773, 'epoch': 63, 'lr': 0.00025, 'n_epochs': 250, 'test_loss': 0.04024499365025096, 'time': 4589.925855875015, 'train_loss': 0.011383968427599896, 'val_loss': 0.06618935549779544}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 250, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 26, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",test6_old_3-128-24-001
