,summary,config,name
1,"{'_runtime': 6888.7235276, '_step': 93, '_timestamp': 1742840120.159695, '_wandb': {'runtime': 6890}, 'batch_size': 256, 'best_epoch': 73, 'best_test': 0.030052300833631307, 'best_train': 0.02029415260706293, 'best_val': 0.036439133255044, 'epoch': 93, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.025896803970681503, 'time': 6866.352095603943, 'train_loss': 0.01600103479761042, 'val_loss': 0.04088959353975952}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_001--set_4-old--error
2,"{'_runtime': 11451.4656987, '_step': 66, '_timestamp': 1742865965.5106835, '_wandb': {'runtime': 11452}, 'batch_size': 256, 'best_epoch': 46, 'best_test': 0.028691963671008125, 'best_train': 0.02721714008305418, 'best_val': 0.03455514300731011, 'epoch': 66, 'lr': 0.0005, 'n_epochs': 200, 'test_loss': 0.02807716056122445, 'time': 11399.419142961502, 'train_loss': 0.02201867668252242, 'val_loss': 0.04111974511761218}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",fhn_002--set_4-TU--error
3,"{'_runtime': 21471.4615067, '_step': 110, '_timestamp': 1742922914.1695652, '_wandb': {'runtime': 21634}, 'batch_size': 256, 'best_epoch': 110, 'best_test': 0.00038411996774812, 'best_train': 5.839145458977375e-05, 'best_val': 8.680282076056756e-05, 'epoch': 110, 'lr': 0.000125, 'n_epochs': 200, 'test_loss': 0.00038411996774812, 'time': 21430.513813495636, 'train_loss': 5.839145458977375e-05, 'val_loss': 8.680282076056756e-05}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_002--set_4-exact-1
4,"{'_runtime': 19938.051433922, '_step': 86, '_timestamp': 1742923022.6154015, '_wandb': {'runtime': 20006}, 'batch_size': 256, 'best_epoch': 73, 'best_test': 0.029725475556915622, 'best_train': 0.007905962234853129, 'best_val': 0.02586752106435597, 'epoch': 86, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.02653442637529224, 'time': 19907.85653495789, 'train_loss': 0.006186508289293239, 'val_loss': 0.02672499933396466}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",fhn_002--set_4-FE--error
5,"{'_runtime': 19834.185719204, '_step': 73, '_timestamp': 1742922936.954123, '_wandb': {'runtime': 19993}, 'batch_size': 256, 'best_epoch': 69, 'best_test': 0.03702472528675571, 'best_train': 0.01282466232384506, 'best_val': 0.0299179183493834, 'epoch': 73, 'lr': 0.0005, 'n_epochs': 200, 'test_loss': 0.03125822966103442, 'time': 19794.473744630817, 'train_loss': 0.012378804304784066, 'val_loss': 0.031356162842712365}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'RK4'}",fhn_002--set_4-RK4--error
6,"{'_runtime': 11362.2733837, '_step': 54, '_timestamp': 1742923037.0514522, '_wandb': {'runtime': 11405}, 'batch_size': 256, 'best_epoch': 50, 'best_test': 0.0006389860882336507, 'best_train': 0.00011490026996685436, 'best_val': 0.00015846880637582217, 'epoch': 54, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.0004787047855643322, 'time': 11318.062995910645, 'train_loss': 0.0001075583725698954, 'val_loss': 0.00015868262994445104}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_002--set_4-exact-2
7,"{'_runtime': 8494.952260873, '_step': 20, '_timestamp': 1742933703.9717305, '_wandb': {'runtime': 8494}, 'batch_size': 256, 'best_epoch': 18, 'best_test': 0.00045740602354271687, 'best_train': 0.00035808075856613486, 'best_val': 0.0003560017817108019, 'epoch': 20, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.0003777987212743028, 'time': 8445.3132853508, 'train_loss': 0.0003360325989840356, 'val_loss': 0.0005749793549512106}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",fhn_002--set_4-TU-2
8,"{'_runtime': 8591.953969661, '_step': 36, '_timestamp': 1742933868.976758, '_wandb': {'runtime': 8591}, 'batch_size': 256, 'best_epoch': 34, 'best_test': 0.00047585541869921144, 'best_train': 0.00030473171607713756, 'best_val': 0.00027366172025722335, 'epoch': 36, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.0003192773747286992, 'time': 8553.684428453445, 'train_loss': 0.00016986201747051, 'val_loss': 0.00031784665748091356}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_001--set_4-old-2
9,"{'_runtime': 7240.6900248, '_step': 53, '_timestamp': 1742933963.370959, '_wandb': {'runtime': 7240}, 'batch_size': 256, 'best_epoch': 52, 'best_test': 0.0005936779907642631, 'best_train': 0.00014704664503561185, 'best_val': 0.00025455030231569253, 'epoch': 53, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.0005973160930352606, 'time': 7216.808349609375, 'train_loss': 0.00018355062252100508, 'val_loss': 0.0003007265577252838}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",fhn_002--set_4-FE
10,"{'_runtime': 7113.1981815, '_step': 44, '_timestamp': 1742933897.3437934, '_wandb': {'runtime': 7113}, 'batch_size': 256, 'best_epoch': 39, 'best_test': 0.0007192002540250542, 'best_train': 0.00021978643758063156, 'best_val': 0.00030548729500878835, 'epoch': 44, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.0008323875335918274, 'time': 7082.249561071396, 'train_loss': 0.00047088418260069663, 'val_loss': 0.0005351527897801134}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'RK4'}",fhn_002--set_4-RK4
