,summary,config,name
1,"{'_runtime': 33779.2969541, '_step': 110, '_timestamp': 1742866713.2027123, '_wandb': {'runtime': 33781}, 'batch_size': 128, 'best_epoch': 90, 'best_test': 0.03558411818766405, 'best_train': 0.016007088257798126, 'best_val': 0.06615187552949739, 'epoch': 110, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.0372809065831086, 'time': 33753.605548620224, 'train_loss': 0.015702985054640857, 'val_loss': 0.07193806146581967}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",vdp_001--radiant_sweep_4
2,"{'_runtime': 15778.5584256, '_step': 141, '_timestamp': 1742851603.6209075, '_wandb': {'runtime': 15837}, 'batch_size': 128, 'best_epoch': 140, 'best_test': 0.03947306696384672, 'best_train': 0.015337004560346484, 'best_val': 0.08943426112333934, 'epoch': 141, 'lr': 0.00025, 'n_epochs': 500, 'test_loss': 0.04599780060114369, 'time': 15752.437944889069, 'train_loss': 0.01717148176714699, 'val_loss': 0.09800643612822844}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",vdp_002--radiant_sweep_4-old
3,"{'_runtime': 63572.028889757, '_step': 40, '_timestamp': 1743248795.300511, '_wandb': {'runtime': 63919}, 'batch_size': 96, 'best_epoch': 34, 'best_test': 0.026717332967867453, 'best_train': 0.011441759676450777, 'best_val': 0.043710105475925264, 'epoch': 40, 'lr': 0.0003333333333333333, 'n_epochs': 200, 'test_loss': 0.03351314370298669, 'time': 63299.18647766113, 'train_loss': 0.009779180002783144, 'val_loss': 0.04955451587392461}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",vdp_test3-data3-no_B
4,"{'_runtime': 14074.992385642, '_step': 162, '_timestamp': 1742856900.7857308, '_wandb': {'runtime': 14076}, 'batch_size': 256, 'best_epoch': 142, 'best_test': 0.08554665982956067, 'best_train': 0.009619450848549604, 'best_val': 0.094197416852694, 'epoch': 162, 'lr': 6.25e-05, 'n_epochs': 200, 'test_loss': 0.08598558494122699, 'time': 14054.403024196625, 'train_loss': 0.009920886948116516, 'val_loss': 0.09542260982561857}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 26, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",vdp_004--set_6-old
5,"{'_runtime': 31314.49686818, '_step': 59, '_timestamp': 1742955630.3205626, '_wandb': {'runtime': 31315}, 'batch_size': 128, 'best_epoch': 39, 'best_test': 0.05557163219366755, 'best_train': 0.020548227878790053, 'best_val': 0.0573662274650165, 'epoch': 59, 'lr': 0.00025, 'n_epochs': 250, 'test_loss': 0.05149495690351441, 'time': 31290.071779727936, 'train_loss': 0.017903911590418486, 'val_loss': 0.0649241390268481}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 250, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",vdp__new-set_6-RIGHT
6,"{'_runtime': 19813.108708339, '_step': 60, '_timestamp': 1742946144.1459956, '_wandb': {'runtime': 19814}, 'batch_size': 128, 'best_epoch': 40, 'best_test': 0.03174184993027695, 'best_train': 0.02266753758624117, 'best_val': 0.03402747308451032, 'epoch': 60, 'lr': 0.00025, 'n_epochs': 250, 'test_loss': 0.038184092631415714, 'time': 19767.975720643997, 'train_loss': 0.02236228679656667, 'val_loss': 0.03894898339751221}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 250, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",vdp__old-set_6-RIGHT
7,"{'_runtime': 39341.135149752, '_step': 121, '_timestamp': 1743110381.7542768, '_wandb': {'runtime': 39416}, 'batch_size': 256, 'best_epoch': 116, 'best_test': 0.03980417468119413, 'best_train': 0.009760848099463863, 'best_val': 0.043167366180568933, 'epoch': 121, 'lr': 0.000125, 'n_epochs': 200, 'test_loss': 0.03810086753219366, 'time': 39321.57431912422, 'train_loss': 0.00980516202551754, 'val_loss': 0.04467936820583418}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",vdp_005--BE_B-256-entropy
8,"{'_runtime': 28396.904935878, '_step': 45, '_timestamp': 1743099516.1139898, '_wandb': {'runtime': 28398}, 'batch_size': 126, 'best_epoch': 25, 'best_test': 0.053748063248349354, 'best_train': 0.02203613237846487, 'best_val': 0.04931485059205443, 'epoch': 45, 'lr': 0.0005, 'n_epochs': 200, 'test_loss': 0.047868705907603726, 'time': 28356.688901901245, 'train_loss': 0.013006396606215276, 'val_loss': 0.0605569944891613}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 126, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 18, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",vdp_005--BE_B-126-entropy-18
9,"{'_runtime': 30868.802875179, '_step': 73, '_timestamp': 1743103984.6789374, '_wandb': {'runtime': 30870}, 'batch_size': 256, 'best_epoch': 53, 'best_test': 0.035558891657274216, 'best_train': 0.01637718313814778, 'best_val': 0.037642860086634755, 'epoch': 73, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.034320139326155186, 'time': 30809.84898877144, 'train_loss': 0.011976932028406544, 'val_loss': 0.03965486912056804}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",vdp_005--exact_B-entropy
10,"{'_runtime': 34629.077886309, '_step': 68, '_timestamp': 1743115702.5598369, '_wandb': {'runtime': 34630}, 'batch_size': 126, 'best_epoch': 48, 'best_test': 0.05575081062852405, 'best_train': 0.014900697957879553, 'best_val': 0.030505849921610206, 'epoch': 68, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.04379362871986814, 'time': 34497.40789461136, 'train_loss': 0.011582090097363109, 'val_loss': 0.03422026717453264}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 126, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 22, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",vdp_test0___005--BE_B-126-entropy-22
