,summary,config,name
1,"{'_runtime': 37481.6913807, '_step': 139, '_timestamp': 1742460651.8235345, '_wandb': {'runtime': 37754}, 'batch_size': 128, 'best_epoch': 139, 'best_test': 0.03165482283229866, 'best_train': 0.013442921733099316, 'best_val': 0.06372759999736907, 'coeff_train': 0.580947917413158, 'epoch': 139, 'lr': 3.125e-05, 'n_epochs': 500, 'test_loss': 0.03165482283229866, 'time': 37451.43218612671, 'train_loss': 0.013442921733099316, 'val_loss': 0.06372759999736907}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",050___vdp
2,"{'_runtime': 22108.2997181, '_step': 77, '_timestamp': 1742446219.0934548, '_wandb': {'runtime': 22108}, 'batch_size': 128, 'best_epoch': 57, 'best_test': 0.031174158928768028, 'best_train': 0.028783515184408144, 'best_val': 0.036670097874270544, 'coeff_train': 0.6384884914948572, 'epoch': 77, 'lr': 0.00025, 'n_epochs': 500, 'test_loss': 0.02827900384242336, 'time': 22070.82731485367, 'train_loss': 0.02422400077351581, 'val_loss': 0.04486035347162258}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",051___fhn
3,"{'_runtime': 13967.7160078, '_step': 127, '_timestamp': 1742439179.7070515, '_wandb': {'runtime': 13968}, 'batch_size': 128, 'best_epoch': 107, 'best_test': 0.026796013301622772, 'best_train': 0.022122922061484248, 'best_val': 0.03483917065970008, 'coeff_train': 0, 'epoch': 127, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.02568249670892126, 'time': 13939.861764431, 'train_loss': 0.019775001585936893, 'val_loss': 0.03675157647757303}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",052___fhn-default-code
4,"{'_runtime': 9794.1529896, '_step': 117, '_timestamp': 1742466946.665296, '_wandb': {'runtime': 9861}, 'batch_size': 128, 'best_epoch': 112, 'best_test': 0.033960099849436015, 'best_train': 0.013545496137960562, 'best_val': 0.06969134811134566, 'coeff_train': 0, 'epoch': 117, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.03329164023318934, 'time': 9766.92120027542, 'train_loss': 0.013237217680191395, 'val_loss': 0.07226177934734594}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",053___vdp-default-code
5,"{'_runtime': 9844.692996, '_step': 33, '_timestamp': 1742490344.026744, '_wandb': {'runtime': 10118}, 'batch_size': 128, 'best_epoch': 26, 'best_test': 0.02325438444931356, 'best_train': 0.01138090737479389, 'best_val': 0.04191491572511575, 'coeff_train': 0.4454360099969614, 'epoch': 33, 'lr': 0.001, 'n_epochs': 600, 'test_loss': 0.026860858254607708, 'time': 9747.53641295433, 'train_loss': 0.010035054814858883, 'val_loss': 0.05350164176216201}","{'lr': 0.001, 'loss': 'huber', 'es_delta': 1e-07, 'n_epochs': 600, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'lamb', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",054___vdp-set3
6,"{'_runtime': 7211.1819151, '_step': 28, '_timestamp': 1742490299.8464868, '_wandb': {'runtime': 7520}, 'batch_size': 128, 'best_epoch': 19, 'best_test': 0.03480247207104214, 'best_train': 0.011666294832827238, 'best_val': 0.03446821563891948, 'coeff_train': 0.628063944916227, 'epoch': 28, 'lr': 0.001, 'n_epochs': 600, 'test_loss': 0.03800599498762971, 'time': 7170.803230762482, 'train_loss': 0.008743340018939562, 'val_loss': 0.03799575786032374}","{'lr': 0.001, 'loss': 'huber', 'es_delta': 1e-07, 'n_epochs': 600, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'lamb', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",055___vdp-set3-gru
7,"{'_runtime': 4183.6232569, '_step': 15, '_timestamp': 1742490490.8742442, '_wandb': {'runtime': 4306}, 'batch_size': 128, 'best_epoch': 15, 'best_test': 0.06614899209567479, 'best_train': 0.06748723043572336, 'best_val': 0.06988165243750527, 'coeff_train': 0.5852923851898851, 'epoch': 15, 'lr': 0.0005, 'n_epochs': 500, 'test_loss': 0.06614899209567479, 'time': 4142.826177120209, 'train_loss': 0.06748723043572336, 'val_loss': 0.06988165243750527}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",056___fhn-gru
8,"{'_runtime': 19531.4914334, '_step': 123, '_timestamp': 1742521861.9610133, '_wandb': {'runtime': 19533}, 'batch_size': 256, 'best_epoch': 103, 'best_test': 0.04588673071702942, 'best_train': 0.009910718660409512, 'best_val': 0.06170963332988322, 'coeff_train': 0.3947962669195425, 'epoch': 123, 'lr': 0.000125, 'n_epochs': 200, 'test_loss': 0.04987818584777415, 'time': 19489.789879083633, 'train_loss': 0.009450188705599622, 'val_loss': 0.07695418025832623}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'RK4'}",057___vdp-set5-gru
9,"{'_runtime': 14987.1812247, '_step': 78, '_timestamp': 1742518522.038277, '_wandb': {'runtime': 14989}, 'batch_size': 256, 'best_epoch': 58, 'best_test': 0.026159123284742236, 'best_train': 0.019671335610512056, 'best_val': 0.03538567855139263, 'coeff_train': 0.4655132331658358, 'epoch': 78, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.02384521224303171, 'time': 14915.380064487455, 'train_loss': 0.01652296915111181, 'val_loss': 0.04077457508537918}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",058___fhn-set4
10,"{'_runtime': 12729.269175724, '_step': 122, '_timestamp': 1742561825.093523, '_wandb': {'runtime': 12730}, 'batch_size': 256, 'best_epoch': 102, 'best_test': 0.03794126462889835, 'best_train': 0.005722407972146021, 'best_val': 0.02459011127939448, 'coeff_train': 0.697412129302523, 'epoch': 122, 'lr': 0.000125, 'n_epochs': 200, 'test_loss': 0.03839862856693799, 'time': 12707.918282747269, 'train_loss': 0.004537066876104004, 'val_loss': 0.03128099467721768}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_rnn': 'gru', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",059___fhn-set4-gru
