,summary,config,name
0,"{'_runtime': 1424.19807297, '_step': 118, '_timestamp': 1739804979.9436874, '_wandb': {'runtime': 1424}, 'best_epoch': 68, 'epoch': 118, 'lr': 0.00025, 'test_loss': 0.021418015856946273, 'time': 1407.7273120880127, 'train_loss': 0.006726103879156567, 'val_loss': 0.18159211502366124}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 50, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 20, 'control_rnn_size': 16, 'control_rnn_depth': 1}",001___default-code
1,"{'_runtime': 1070.703141513, '_step': 111, '_timestamp': 1739814761.0070615, '_wandb': {'runtime': 1070}, 'best_epoch': 92, 'best_test': 0.0681478695736991, 'best_train': 0.01412739430273336, 'best_val': 0.030376552145869012, 'epoch': 112, 'lr': 0.00025, 'test_loss': 0.09295472121309668, 'time': 1047.422713279724, 'train_loss': 0.013990370265981824, 'val_loss': 0.037367201099793114}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",002___default-code
2,"{'_runtime': 1876.840737941, '_step': 59, '_timestamp': 1739885735.8029792, '_wandb': {'runtime': 1876}, 'best_epoch': 40, 'best_test': 0.03857732097071315, 'best_train': 0.015522787978172931, 'best_val': 0.08186018585212647, 'epoch': 60, 'lr': 0.0005, 'test_loss': 0.029452386031311655, 'time': 1864.2635102272031, 'train_loss': 0.011597255151226091, 'val_loss': 0.08240899272144787}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",003___new-Encoder
3,"{'_runtime': 9934.5172945, '_step': 137, '_timestamp': 1739896937.89492, '_wandb': {'runtime': 9945}, 'best_epoch': 133, 'best_test': 0.029304262753280384, 'best_train': 0.011103684082627296, 'best_val': 0.06025674534104173, 'epoch': 138, 'lr': 0.00025, 'test_loss': 0.032275289917985596, 'time': 9899.185650587082, 'train_loss': 0.006298636648035239, 'val_loss': 0.06429138818075733}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",004___new-Encoder
4,"{'_runtime': 6233.088474, '_step': 31, '_timestamp': 1740153810.4094262, '_wandb': {'runtime': 6341}, 'best_epoch': 31, 'best_test': 0.046496183951459234, 'best_train': 0.02178202904070969, 'best_val': 0.042363496674668225, 'epoch': 32, 'lr': 0.001, 'test_loss': 0.04526456543022678, 'time': 6205.528746366501, 'train_loss': 0.02056183809877703, 'val_loss': 0.04706020126976664}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",005___new-LSTM
5,"{'_runtime': 6107.010322916, '_step': 64, '_timestamp': 1740337413.0724814, '_wandb': {'runtime': 6107}, 'best_epoch': 45, 'best_test': 0.06412715399785647, 'best_train': 0.016991450096524897, 'best_val': 0.05093690377497484, 'epoch': 65, 'lr': 0.0005, 'test_loss': 0.05433392481848834, 'time': 6086.771798610687, 'train_loss': 0.0092004129968623, 'val_loss': 0.05783890521833821}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1}",006___new-LSTM
6,"{'_runtime': 14230.5697566, '_step': 71, '_timestamp': 1740431478.2313497, '_wandb': {'runtime': 14230}, 'best_epoch': 63, 'best_test': 0.08391683063809834, 'best_train': 0.023757762576221787, 'best_val': 0.03939290060883477, 'epoch': 72, 'lr': 0.001, 'test_loss': 0.08451492623204276, 'time': 14211.057304143906, 'train_loss': 0.02652135646591584, 'val_loss': 0.04843138637287276}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 8, 'control_rnn_depth': 1}",007___new-LSTM
7,"{'_runtime': 2636.0262737, '_step': 16, '_timestamp': 1740500096.9792206, '_wandb': {'runtime': 2747}, 'best_epoch': 8, 'best_test': 3.442047153200422, 'best_train': 2.4628484375262385, 'best_val': 3.3493364046490384, 'epoch': 17, 'lr': 0.001, 'test_loss': 3.4538647977132646, 'time': 2615.143908262253, 'train_loss': 2.227383645123275, 'val_loss': 3.5494111530364507}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 8, 'control_rnn_depth': 1}",008___new-LSTM
8,"{'_runtime': 17349.091133, '_step': 98, '_timestamp': 1740518344.4053724, '_wandb': {'runtime': 17493}, 'best_epoch': 97, 'best_test': 0.04557893265570913, 'best_train': 0.017039695917259134, 'best_val': 0.23109009235151232, 'epoch': 99, 'lr': 0.0005, 'test_loss': 0.04779352785812484, 'time': 17325.6448199749, 'train_loss': 0.01854242477566004, 'val_loss': 0.2401606762219989}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 8, 'control_rnn_depth': 1}",009___new-LSTM
9,"{'_runtime': 18875.3433391, '_step': 59, '_timestamp': 1740607624.1233895, '_wandb': {'runtime': 19230}, 'best_epoch': 59, 'best_test': 0.1605906319760141, 'best_train': 0.10775734235843022, 'best_val': 0.3206177320745256, 'epoch': 60, 'lr': 0.001, 'test_loss': 0.08963417326883664, 'time': 18832.97823524475, 'train_loss': 0.07082183136747627, 'val_loss': 0.38437215108720085}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'sched_patience': 10, 'control_rnn_size': 8, 'control_rnn_depth': 1}",010___new-GD
