,summary,config,name
1,"{'_runtime': 24134.2796855, '_step': 89, '_timestamp': 1741783641.2791045, '_wandb': {'runtime': 24134}, 'batch_size': 128, 'best_epoch': 69, 'best_test': 0.11909919634224876, 'best_train': 0.012003492137722713, 'best_val': 0.019937452165380357, 'epoch': 89, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.11996189498948671, 'time': 24096.859586954117, 'train_loss': 0.01148234441304806, 'val_loss': 0.021571947232125296}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",radiant-sweep-4
2,"{'_runtime': 18845.1666517, '_step': 173, '_timestamp': 1741729763.481567, '_wandb': {'runtime': 18845}, 'batch_size': 256, 'best_epoch': 153, 'best_test': 0.1481804974609986, 'best_train': 0.014840607933307949, 'best_val': 0.02342821948695928, 'epoch': 173, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.15058815176598728, 'time': 18822.825367212296, 'train_loss': 0.013035300756363492, 'val_loss': 0.02358409221051261}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 1, 'encoder_depth': 1, 'x_update_mode': 'beta', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 12, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",swift-sweep-1
3,"{'_runtime': 7346.7665658, '_step': 106, '_timestamp': 1741430459.320042, '_wandb': {'runtime': 7346}, 'best_epoch': 87, 'best_test': 0.025843684265892657, 'best_train': 0.014283652101993245, 'best_val': 0.02398856176388642, 'epoch': 107, 'lr': 0.000125, 'test_loss': 0.026321270325708957, 'time': 7328.914924144745, 'train_loss': 0.014671892942811446, 'val_loss': 0.026048427477242456}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 10, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",026___default-code-same-dim
4,"{'_runtime': 11596.988310016, '_step': 89, '_timestamp': 1741556368.7455869, '_wandb': {'runtime': 11596}, 'best_epoch': 70, 'best_test': 0.025469546516736347, 'best_train': 0.020823853031273872, 'best_val': 0.05242124152561975, 'epoch': 90, 'lr': 0.00025, 'test_loss': 0.028552606967943057, 'time': 11577.355808258057, 'train_loss': 0.017268735077724886, 'val_loss': 0.05523285769399197}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'beta', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 8, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",033___x-update-beta
5,"{'_runtime': 25416.542699058, '_step': 158, '_timestamp': 1741946020.719251, '_wandb': {'runtime': 25416}, 'batch_size': 128, 'best_epoch': 138, 'best_test': 0.320854652968664, 'best_train': 0.010838985985154828, 'best_val': 0.09456262898646176, 'epoch': 158, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.3193950263990296, 'time': 25397.20451593399, 'train_loss': 0.007751289033207786, 'val_loss': 0.09689457853516888}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 1, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 1, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",hearty-sweep-2
6,"{'_runtime': 18812.5908758, '_step': 113, '_timestamp': 1741824679.444635, '_wandb': {'runtime': 18985}, 'batch_size': 128, 'best_epoch': 98, 'best_test': 0.032758295240383296, 'best_train': 0.018323482102936224, 'best_val': 0.1541849288734652, 'epoch': 113, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.03999957615243537, 'time': 18786.76917457581, 'train_loss': 0.009215078745332976, 'val_loss': 0.1645800969785168}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",038___hyperparams-set-1
7,"{'_runtime': 4399.594476623, '_step': 30, '_timestamp': 1741769523.377036, '_wandb': {'runtime': 4399}, 'batch_size': 128, 'best_epoch': 10, 'best_test': 0.12021032513843642, 'best_train': 0.03149817268999796, 'best_val': 0.08299240676893128, 'epoch': 30, 'lr': 0.001, 'n_epochs': 1000, 'test_loss': 0.10709275855194957, 'time': 4381.372041940689, 'train_loss': 0.013504245855584346, 'val_loss': 0.0952433996966907}","{'lr': 0.002, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 1000, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 1, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",faithful-sweep-4
8,"{'_runtime': 15373.7449627, '_step': 61, '_timestamp': 1742229683.6684904, '_wandb': {'runtime': 15500}, 'batch_size': 128, 'best_epoch': 57, 'best_test': 0.03277164156593028, 'best_train': 0.005900937812550674, 'best_val': 0.025855697661874785, 'epoch': 61, 'lr': 0.0005, 'n_epochs': 600, 'test_loss': 0.03224825329842076, 'time': 15343.459737062454, 'train_loss': 0.0073168578018094335, 'val_loss': 0.028925311145564868}","{'lr': 0.001, 'loss': 'huber', 'es_delta': 1e-07, 'n_epochs': 600, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'lamb', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'TU'}",047___hyperparams___set_3

9,"{'_runtime': 11995.576234156, '_step': 72, '_timestamp': 1742249640.9203196, '_wandb': {'runtime': 12024}, 'batch_size': 128, 'best_epoch': 68, 'best_test': 0.2817918884139212, 'best_train': 0.010568339875332577, 'best_val': 0.05043999835967072, 'coeff_train': 0.5078245317955713, 'epoch': 72, 'lr': 0.0005, 'n_epochs': 200, 'test_loss': 0.2890660311021502, 'time': 11965.97043466568, 'train_loss': 0.010115224222539278, 'val_loss': 0.05292532734927677}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 200, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'RK4'}",049___hyperparams___set_5  
