,summary,config,name
1,"{'_runtime': 43809.9830378, '_step': 66, '_timestamp': 1744616352.2035909, '_wandb': {'runtime': 43811}, 'batch_size': 128, 'best_epoch': 41, 'best_test': 0.1919660846155787, 'best_train': 0.007683520119085356, 'best_val': 0.04072290493382348, 'epoch': 66, 'lr': 1.5625e-05, 'n_epochs': 200, 'test_loss': 0.1750167751950877, 'time': 43695.18103599548, 'train_loss': 0.005540085872684522, 'val_loss': 0.04748890847559013}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 8, 'encoder_size': 8, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 6, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'RK4'}",best-5
2,"{'_runtime': 49949.056143603, '_step': 59, '_timestamp': 1744622401.4544904, '_wandb': {'runtime': 50038}, 'batch_size': 128, 'best_epoch': 46, 'best_test': 0.15120473740592835, 'best_train': 0.008741505012881977, 'best_val': 0.04543809509939618, 'epoch': 59, 'lr': 0.000125, 'n_epochs': 200, 'test_loss': 0.1429991296063813, 'time': 49831.37933063507, 'train_loss': 0.005141099061196049, 'val_loss': 0.05189559416520217}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 8, 'encoder_size': 8, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 6, 'control_rnn_size': 56, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'RK4'}",best-3
3,"{'_runtime': 43551.5956779, '_step': 67, '_timestamp': 1744615883.552681, '_wandb': {'runtime': 43553}, 'batch_size': 128, 'best_epoch': 42, 'best_test': 0.1209881774016789, 'best_train': 0.006838554647016935, 'best_val': 0.047589325301703955, 'epoch': 67, 'lr': 1.5625e-05, 'n_epochs': 200, 'test_loss': 0.11583139345286383, 'time': 43482.78306698799, 'train_loss': 0.005339140779580231, 'val_loss': 0.05154565600530496}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 8, 'encoder_size': 8, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 6, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'RK4'}",best-1
4,"{'_runtime': 34733.7829418, '_step': 50, '_timestamp': 1744309616.4340649, '_wandb': {'runtime': 34733}, 'batch_size': 128, 'best_epoch': 49, 'best_test': 0.08377746610887467, 'best_train': 0.008218634371010084, 'best_val': 0.044899852029860965, 'epoch': 50, 'lr': 0.0003333333333333333, 'n_epochs': 200, 'test_loss': 0.08198615707575328, 'time': 34563.8709692955, 'train_loss': 0.006939552645519297, 'val_loss': 0.047117685928704245}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'RK4'}",RK4
5,"{'_runtime': 34547.5343656, '_step': 50, '_timestamp': 1744245787.6613274, '_wandb': {'runtime': 34549}, 'batch_size': 128, 'best_epoch': 25, 'best_test': 0.033035918478927916, 'best_train': 0.027024905852697515, 'best_val': 0.04815789486562449, 'epoch': 50, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.02413345743266363, 'time': 34412.37400722504, 'train_loss': 0.00703714464953731, 'val_loss': 0.051975279218620725}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",TEMP-2-data3
6,"{'_runtime': 53722.3176586, '_step': 105, '_timestamp': 1744264915.0027986, '_wandb': {'runtime': 53724}, 'batch_size': 128, 'best_epoch': 80, 'best_test': 0.04392782938740556, 'best_train': 0.0064521499061907725, 'best_val': 0.0382206335013348, 'epoch': 105, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.04485671254732306, 'time': 53612.24860239029, 'train_loss': 0.005439786472057224, 'val_loss': 0.042829702741333416}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",TEMP-1-data3
7,"{'_runtime': 25211.7094229, '_step': 42, '_timestamp': 1744164887.6110842, '_wandb': {'runtime': 25211}, 'batch_size': 128, 'best_epoch': 41, 'best_test': 0.03117914146019353, 'best_train': 0.013388419893407631, 'best_val': 0.039426057496004634, 'epoch': 42, 'lr': 0.0003333333333333333, 'n_epochs': 200, 'test_loss': 0.029815875082498507, 'time': 25068.116199731827, 'train_loss': 0.012941041680437231, 'val_loss': 0.0396100790609443}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",TEMP-without-2
8,"{'_runtime': 25288.2666757, '_step': 42, '_timestamp': 1744164933.9967337, '_wandb': {'runtime': 25288}, 'batch_size': 128, 'best_epoch': 28, 'best_test': 0.03249741709303288, 'best_train': 0.012956834590387723, 'best_val': 0.04420173286445557, 'epoch': 42, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.02992931558262734, 'time': 25135.320389270782, 'train_loss': 0.008098193131406944, 'val_loss': 0.05237871136457201}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",TEMP-with-2
9,"{'_runtime': 15346.3604281, '_step': 28, '_timestamp': 1744133335.3798616, '_wandb': {'runtime': 15973}, 'batch_size': 128, 'best_epoch': 18, 'best_test': 0.046376645535467165, 'best_train': 0.01914400167309891, 'best_val': 0.04422349988349846, 'epoch': 28, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.06335897424391337, 'time': 15231.252245903015, 'train_loss': 0.03538684968752836, 'val_loss': 0.060861936223412315}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 128, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",TEMP-with
10,"{'_runtime': 53725.238367715, '_step': 84, '_timestamp': 1743746230.0750244, '_wandb': {'runtime': 53726}, 'batch_size': 96, 'best_epoch': 59, 'best_test': 0.027132561363812004, 'best_train': 0.009729017913785007, 'best_val': 0.034618378561433585, 'epoch': 84, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.02573979173653892, 'time': 53542.17037367821, 'train_loss': 0.005448304720976878, 'val_loss': 0.04343893308015097}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_TEST-r_1
