,summary,config,name
1,"{'_runtime': 65560.9582563, '_step': 77, '_timestamp': 1744778514.4317565, '_wandb': {'runtime': 65562}, 'batch_size': 96, 'best_epoch': 52, 'best_test': 0.2140851350767272, 'best_train': 0.007776201449497234, 'best_val': 0.04746163053260673, 'epoch': 77, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.21115521563305745, 'time': 65464.27793288231, 'train_loss': 0.007103758657144176, 'val_loss': 0.05481849941203282}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-1
2,"{'_runtime': 54198.0890031, '_step': 60, '_timestamp': 1744767208.2916512, '_wandb': {'runtime': 54199}, 'batch_size': 96, 'best_epoch': 35, 'best_test': 0.2319563990902333, 'best_train': 0.017781164598769494, 'best_val': 0.04685712665585535, 'epoch': 60, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.32835264237863676, 'time': 54056.4154419899, 'train_loss': 0.00699987350722834, 'val_loss': 0.06193765740664232}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-2
3,"{'_runtime': 81416.1801926, '_step': 101, '_timestamp': 1744794436.2977085, '_wandb': {'runtime': 81493}, 'batch_size': 96, 'best_epoch': 79, 'best_test': 0.2222828089836098, 'best_train': 0.005938885839737301, 'best_val': 0.03982930379875359, 'epoch': 101, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.2262102188985972, 'time': 81268.66069293022, 'train_loss': 0.005506413963822914, 'val_loss': 0.04339283072788801}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-3
4,"{'_runtime': 24435.9921064, '_step': 29, '_timestamp': 1744991772.030665, '_wandb': {'runtime': 24435}, 'batch_size': 96, 'best_epoch': 29, 'best_test': 0.1838290620861309, 'best_train': 0.017028965894871996, 'best_val': 0.0715946928997125, 'epoch': 29, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.1838290620861309, 'time': 24308.894075393677, 'train_loss': 0.017028965894871996, 'val_loss': 0.0715946928997125}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-19
5,"{'_runtime': 42992.978320438, '_step': 38, '_timestamp': 1744777377.492056, '_wandb': {'runtime': 42994}, 'batch_size': 96, 'best_epoch': 13, 'best_test': 0.09162914584435168, 'best_train': 0.023186473793069286, 'best_val': 0.08344299607865867, 'epoch': 38, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.0661515497513825, 'time': 42698.07217502594, 'train_loss': 0.011488001233720707, 'val_loss': 0.09921449615753122}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-6
6,"{'_runtime': 35994.3944868, '_step': 41, '_timestamp': 1744830719.572641, '_wandb': {'runtime': 36296}, 'batch_size': 96, 'best_epoch': 25, 'best_test': 0.05020698332892997, 'best_train': 0.016680158659934052, 'best_val': 0.055246252256135144, 'epoch': 41, 'lr': 0.0003333333333333333, 'n_epochs': 200, 'test_loss': 0.043968172544347386, 'time': 35880.70736980438, 'train_loss': 0.012739743296396992, 'val_loss': 0.0680560183134817}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-7
8,"{'_runtime': 42344.1597314, '_step': 52, '_timestamp': 1744837109.5318377, '_wandb': {'runtime': 42818}, 'batch_size': 96, 'best_epoch': 32, 'best_test': 0.0829796870239079, 'best_train': 0.008831016475423462, 'best_val': 0.057717035857162306, 'epoch': 52, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.09919673188899954, 'time': 42215.98549556732, 'train_loss': 0.007291722761851455, 'val_loss': 0.08794994545834404}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-8
9,"{'_runtime': 31736.50981, '_step': 35, '_timestamp': 1744826523.014032, '_wandb': {'runtime': 31738}, 'batch_size': 96, 'best_epoch': 10, 'best_test': 0.10897293145812692, 'best_train': 0.05223442619252536, 'best_val': 0.08093403448306379, 'epoch': 35, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.10480489000855456, 'time': 31599.74158191681, 'train_loss': 0.01160232576778129, 'val_loss': 0.09720807611232712}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-9
10,"{'_runtime': 30012.711377887, '_step': 42, '_timestamp': 1744824841.708388, '_wandb': {'runtime': 30014}, 'batch_size': 96, 'best_epoch': 17, 'best_test': 0.03929343806313617, 'best_train': 0.02834216309415679, 'best_val': 0.04233581419768078, 'epoch': 42, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.03952118519338824, 'time': 29926.95946455002, 'train_loss': 0.007388064641475914, 'val_loss': 0.07064955914393067}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-10
11,"{'_runtime': 35755.204919761, '_step': 58, '_timestamp': 1744830655.345708, '_wandb': {'runtime': 36107}, 'batch_size': 96, 'best_epoch': 41, 'best_test': 0.09569771512455884, 'best_train': 0.014960145365284196, 'best_val': 0.04025548676561032, 'epoch': 58, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.11648409551985207, 'time': 35575.07484078407, 'train_loss': 0.007995089492945385, 'val_loss': 0.0433987131608384}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-12
12,"{'_runtime': 36017.2253189, '_step': 41, '_timestamp': 1744963003.2531762, '_wandb': {'runtime': 36019}, 'batch_size': 96, 'best_epoch': 16, 'best_test': 0.06100488984070364, 'best_train': 0.052990209577339034, 'best_val': 0.06771768070757389, 'epoch': 41, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.05003209669320356, 'time': 35829.12909030914, 'train_loss': 0.007794738159559313, 'val_loss': 0.07350707728238333}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_fin-16
