n,train,val,test,best_val
0,1.452591,1.504351,1.44756,1.504351
1,0.2251507,0.2024956,0.2237366,0.2024956
2,0.1098825,0.09329167,0.1094927,0.09329167
3,0.07707419,0.06649622,0.09239339,0.06649622
4,0.06493567,0.05760285,0.07836173,0.05760285
5,0.05409905,0.04991364,0.06712009,0.04991364
6,0.05178671,0.04812077,0.06912162,0.04812077
7,0.06156035,0.05513902,0.08594425,0.04812077
8,0.04373895,0.04186204,0.06507033,0.04186204
9,0.05250505,0.05040302,0.06972798,0.04186204
10,0.0423705,0.04224556,0.05472005,0.04186204
11,0.03767193,0.03810193,0.05275773,0.03810193
12,0.03983267,0.04054629,0.05223442,0.03810193
13,0.03640424,0.04054549,0.05391872,0.03810193
14,0.03594967,0.03813468,0.05624131,0.03810193
15,0.04125605,0.03983371,0.0502007,0.03810193
16,0.02797706,0.03245261,0.04584056,0.03245261
17,0.03217203,0.03713787,0.04857607,0.03245261
18,0.03570591,0.04398802,0.04983055,0.03245261
19,0.04687777,0.05034855,0.06105684,0.03245261
20,0.02714997,0.0317727,0.04626271,0.0317727
21,0.02589072,0.0324157,0.04234177,0.0317727
22,0.02747007,0.03550938,0.04369576,0.0317727
23,0.02291384,0.03217766,0.04363422,0.0317727
24,0.02437975,0.03244922,0.04637216,0.0317727
25,0.02340963,0.02927451,0.04364112,0.02927451
26,0.02735358,0.03554593,0.04742768,0.02927451
27,0.02553083,0.03287298,0.04876996,0.02927451
28,0.02820268,0.03382322,0.04668048,0.02927451
29,0.0233985,0.03296259,0.04681741,0.02927451
30,0.02445153,0.03400497,0.04963915,0.02927451
31,0.03166011,0.03653543,0.05980511,0.02927451
32,0.02161617,0.0319025,0.05187006,0.02927451
33,0.01819323,0.02718112,0.04562433,0.02718112
34,0.02117868,0.03137279,0.04884223,0.02718112
35,0.03053988,0.04475703,0.07620355,0.02718112
36,0.01844336,0.02707387,0.03522254,0.02707387
37,0.01567101,0.03016873,0.03829381,0.02707387
38,0.02725308,0.03465793,0.04375934,0.02707387
39,0.01602056,0.02258034,0.03626309,0.02258034
40,0.01650508,0.02896542,0.05492856,0.02258034
41,0.01123518,0.02288527,0.04385751,0.02258034
42,0.02071566,0.02939575,0.05567274,0.02258034
43,0.01254202,0.02378301,0.03399835,0.02258034
44,0.01159777,0.02581008,0.03619085,0.02258034
45,0.01398426,0.02444688,0.04439184,0.02258034
46,0.01976751,0.02850012,0.04711415,0.02258034
47,0.01270195,0.02326253,0.04359274,0.02258034
48,0.01625506,0.02812572,0.02962893,0.02258034
49,0.01585716,0.02491724,0.05082164,0.02258034
50,0.01408684,0.02596499,0.03600096,0.02258034
51,0.006879533,0.02057374,0.03858996,0.02057374
52,0.006672037,0.01998295,0.04115072,0.01998295
53,0.006259404,0.02105067,0.0339658,0.01998295
54,0.00810964,0.021386,0.03707884,0.01998295
55,0.00962094,0.02558179,0.03234062,0.01998295
56,0.005769803,0.01909153,0.03481373,0.01909153
57,0.005943368,0.0181861,0.03355485,0.0181861
58,0.006884678,0.02075409,0.04140951,0.0181861
59,0.006747897,0.02296491,0.02953809,0.0181861
60,0.006497955,0.02133165,0.03642448,0.0181861
61,0.006787711,0.02002848,0.03655149,0.0181861
62,0.005752186,0.01972075,0.03602788,0.0181861
63,0.005774492,0.01771046,0.0421204,0.01771046
64,0.005663334,0.01738137,0.03793517,0.01738137
65,0.005816272,0.01845633,0.03604021,0.01738137
66,0.006389712,0.02013091,0.03812696,0.01738137
67,0.004778266,0.01721755,0.03851069,0.01721755
68,0.006246382,0.0177365,0.0395753,0.01721755
69,0.005032541,0.01668019,0.03851127,0.01668019
70,0.00559733,0.01785342,0.03795715,0.01668019
71,0.00550058,0.01825329,0.0416803,0.01668019
72,0.005175299,0.01957516,0.03219834,0.01668019
73,0.005718057,0.01993722,0.03153413,0.01668019
74,0.004815116,0.01666372,0.03393647,0.01666372
75,0.004856438,0.01877759,0.03172316,0.01666372
76,0.009877077,0.02752611,0.03320006,0.01666372
77,0.005280916,0.02028042,0.03473141,0.01666372
78,0.004256706,0.01679443,0.03163528,0.01666372
79,0.005305747,0.01798792,0.03308389,0.01666372
80,0.006075716,0.01949538,0.04022509,0.01666372
81,0.004514618,0.01719722,0.03624181,0.01666372
82,0.004340241,0.01659634,0.04030886,0.01659634
83,0.005684881,0.01863223,0.03084254,0.01659634
84,0.005370301,0.02201436,0.03582752,0.01659634
85,0.004498768,0.01786507,0.03658418,0.01659634
86,0.005255494,0.01750934,0.03577804,0.01659634
87,0.004618143,0.01624956,0.03366356,0.01624956
88,0.005128171,0.01830977,0.03872003,0.01624956
89,0.005644377,0.01914908,0.03703259,0.01624956
90,0.004504003,0.01776709,0.03995712,0.01624956
91,0.003986983,0.01780395,0.04371407,0.01624956
92,0.004401,0.01968369,0.03230844,0.01624956
93,0.004012566,0.01761673,0.04173105,0.01624956
94,0.005684151,0.02179294,0.04701304,0.01624956
95,0.004480959,0.01682566,0.03694259,0.01624956
96,0.004542226,0.01807259,0.03610324,0.01624956
97,0.00423613,0.01826247,0.04064374,0.01624956
98,0.005758444,0.01747861,0.03916789,0.01624956
99,0.003009399,0.01532888,0.03665772,0.01532888
100,0.002898658,0.01541128,0.03668527,0.01532888
101,0.003153597,0.01661124,0.03839646,0.01532888
102,0.00291606,0.01595609,0.03879596,0.01532888
103,0.003176917,0.0151761,0.03423511,0.0151761
104,0.003044972,0.01526989,0.03405193,0.0151761
105,0.003088332,0.01583411,0.03595022,0.0151761
106,0.003164113,0.01626509,0.03353401,0.0151761
107,0.002826844,0.01630367,0.03230752,0.0151761
