n,train,val,test,best_val
0,1.131704,1.125529,1.117039,1.125529
1,0.2549262,0.2561464,0.2462692,0.2561464
2,0.163817,0.1712087,0.1574743,0.1712087
3,0.1444808,0.1514365,0.1356319,0.1514365
4,0.1234647,0.1265843,0.1219122,0.1265843
5,0.1110972,0.1179945,0.11083,0.1179945
6,0.1063695,0.1135994,0.1141853,0.1135994
7,0.09002787,0.09777781,0.09575092,0.09777781
8,0.08913224,0.09329995,0.09466911,0.09329995
9,0.07548236,0.08761795,0.07904121,0.08761795
10,0.07455782,0.09184734,0.08438482,0.08761795
11,0.07517895,0.08472219,0.07346108,0.08472219
12,0.05827791,0.07572985,0.06679325,0.07572985
13,0.05120616,0.06760513,0.06183629,0.06760513
14,0.05424466,0.06927855,0.05980994,0.06760513
15,0.04754602,0.06444245,0.06088921,0.06444245
16,0.04922488,0.0634386,0.05698248,0.0634386
17,0.04217056,0.06142967,0.05243775,0.06142967
18,0.05539201,0.07093826,0.05801003,0.06142967
19,0.04107923,0.05271683,0.05554677,0.05271683
20,0.03715888,0.05828249,0.05371629,0.05271683
21,0.03468663,0.05071547,0.05045464,0.05071547
22,0.03526889,0.0525526,0.05458692,0.05071547
23,0.04577249,0.06591787,0.05647033,0.05071547
24,0.0345668,0.05462431,0.05531245,0.05071547
25,0.03765342,0.06714504,0.06400019,0.05071547
26,0.03350997,0.05022999,0.0483609,0.05022999
27,0.03994207,0.06313379,0.05701074,0.05022999
28,0.02894916,0.05225278,0.04588857,0.05022999
29,0.03478921,0.05632039,0.05011315,0.05022999
30,0.03159381,0.05729867,0.06076723,0.05022999
31,0.02894,0.05281428,0.05612238,0.05022999
32,0.02983422,0.0493211,0.04851684,0.0493211
33,0.02753952,0.04660788,0.05506688,0.04660788
34,0.02715313,0.04900209,0.04866031,0.04660788
35,0.02598715,0.04763899,0.0472868,0.04660788
36,0.02689504,0.04684474,0.05268683,0.04660788
37,0.02577506,0.04173408,0.04899031,0.04173408
38,0.02473367,0.04472221,0.0535799,0.04173408
39,0.02437429,0.04378599,0.05000532,0.04173408
40,0.02584275,0.05248892,0.05201098,0.04173408
41,0.0260285,0.0529315,0.05906452,0.04173408
42,0.02757343,0.04794885,0.04567127,0.04173408
43,0.02453564,0.04694684,0.04915802,0.04173408
44,0.02461571,0.04346999,0.04906011,0.04173408
45,0.02979994,0.05954178,0.06025495,0.04173408
46,0.02556334,0.04508295,0.04746957,0.04173408
47,0.02576006,0.05246471,0.05025735,0.04173408
48,0.02270709,0.04025541,0.04385026,0.04025541
49,0.02420053,0.04515219,0.04790038,0.04025541
50,0.02326341,0.04308665,0.04430267,0.04025541
51,0.0224236,0.03832525,0.04458295,0.03832525
52,0.02342229,0.04000015,0.04006253,0.03832525
53,0.02528979,0.04714189,0.05389071,0.03832525
54,0.02768808,0.05083069,0.05797449,0.03832525
55,0.02240973,0.04052728,0.05020608,0.03832525
56,0.02086061,0.04020606,0.04755044,0.03832525
57,0.02625094,0.04165586,0.0421886,0.03832525
58,0.01954579,0.03744579,0.04281136,0.03744579
59,0.03472746,0.0582003,0.04689237,0.03744579
60,0.02439144,0.05420565,0.05553005,0.03744579
61,0.02088601,0.04345256,0.05525719,0.03744579
62,0.02830745,0.05453503,0.04958109,0.03744579
63,0.02075426,0.04458123,0.05205287,0.03744579
64,0.02312466,0.05270619,0.05562929,0.03744579
65,0.02265478,0.03840824,0.0425073,0.03744579
66,0.03727958,0.06203407,0.06634436,0.03744579
67,0.02020052,0.04124679,0.04123718,0.03744579
68,0.02055484,0.03755712,0.04181698,0.03744579
69,0.01954372,0.03539691,0.04032888,0.03539691
70,0.02552706,0.05690014,0.06383443,0.03539691
71,0.02133356,0.04633185,0.0494219,0.03539691
72,0.02087999,0.04372918,0.04171629,0.03539691
73,0.02186102,0.04734807,0.05270208,0.03539691
74,0.02353263,0.03834003,0.044419,0.03539691
75,0.02370331,0.03682084,0.04659177,0.03539691
76,0.02071399,0.03726296,0.04202599,0.03539691
77,0.01963624,0.05104403,0.05205836,0.03539691
78,0.02275832,0.0417829,0.0403277,0.03539691
79,0.02137572,0.03592313,0.04665684,0.03539691
80,0.02175804,0.04954425,0.04223736,0.03539691
81,0.01693151,0.03540172,0.03846518,0.03539691
82,0.01787684,0.04086591,0.04018217,0.03539691
83,0.01678229,0.04002509,0.03980621,0.03539691
84,0.02114113,0.05747728,0.06658295,0.03539691
