n,train,val,test,best_val
0,3.073891,3.014919,3.021864,3.014919
1,0.1114547,0.138274,0.1555874,0.138274
2,0.02385149,0.05429886,0.04435135,0.05429886
3,0.009826288,0.03435705,0.03071905,0.03435705
4,0.006480527,0.03417133,0.03045945,0.03417133
5,0.006051756,0.03282591,0.02888015,0.03282591
6,0.004824731,0.0311951,0.02635284,0.0311951
7,0.004964232,0.03121284,0.02822064,0.0311951
8,0.00394426,0.03112069,0.02715969,0.03112069
9,0.005103693,0.03275732,0.02955331,0.03112069
10,0.003488468,0.03136053,0.02698619,0.03112069
11,0.003932842,0.033366,0.0289375,0.03112069
12,0.003773451,0.0305578,0.02825116,0.0305578
13,0.005792802,0.03342953,0.02949371,0.0305578
14,0.004623056,0.03470579,0.03003855,0.0305578
15,0.004798891,0.0345283,0.0300566,0.0305578
16,0.004130178,0.03282777,0.029609,0.0305578
17,0.004578354,0.03501485,0.03052437,0.0305578
18,0.004437753,0.03575956,0.03181352,0.0305578
19,0.004226961,0.0341807,0.03142107,0.0305578
20,0.003282992,0.0330572,0.03014917,0.0305578
21,0.003528796,0.03368267,0.03012653,0.0305578
22,0.003611804,0.03395563,0.03154927,0.0305578
23,0.004340105,0.03647262,0.03105446,0.0305578
24,0.0008226662,0.03236098,0.02833154,0.0305578
25,0.0007125779,0.03211747,0.02791404,0.0305578
26,0.000715406,0.0316488,0.02773148,0.0305578
27,0.0007070824,0.03188161,0.02784756,0.0305578
28,0.0006685883,0.03142462,0.027604,0.0305578
29,0.0006185117,0.03145033,0.02743193,0.0305578
30,0.0006845681,0.03096479,0.0274389,0.0305578
31,0.0006428251,0.03097401,0.02729667,0.0305578
32,0.0007358848,0.03101602,0.02706335,0.0305578
33,0.0007354705,0.03067515,0.02706432,0.0305578
34,0.0008040854,0.03109153,0.02700491,0.0305578
35,0.0005078924,0.03058045,0.0266142,0.0305578
36,0.0005068314,0.03053096,0.02664618,0.03053096
37,0.000523974,0.03041384,0.02657962,0.03041384
38,0.0005059318,0.03027916,0.02650297,0.03027916
39,0.0005151928,0.0302342,0.02626902,0.0302342
40,0.000505198,0.03020699,0.02630241,0.03020699
41,0.0005106081,0.03021846,0.02634875,0.03020699
42,0.000513668,0.03010152,0.0260878,0.03010152
43,0.0005285001,0.03002949,0.02594961,0.03002949
44,0.000533887,0.02995837,0.02611797,0.02995837
45,0.0005285994,0.0297652,0.02591494,0.0297652
46,0.000502897,0.02969827,0.02592645,0.02969827
47,0.0005077186,0.02948506,0.02583515,0.02948506
48,0.0005234427,0.02945837,0.02589413,0.02945837
49,0.0005024582,0.02948764,0.02573727,0.02945837
50,0.0005001911,0.02939183,0.02539483,0.02939183
51,0.0005136348,0.02907835,0.02561949,0.02907835
52,0.0005048213,0.02908066,0.02546535,0.02907835
53,0.0005255318,0.02917341,0.02526878,0.02907835
54,0.0005251186,0.0291814,0.02516763,0.02907835
55,0.0005212989,0.02889317,0.02506741,0.02889317
56,0.000491858,0.0290081,0.02506333,0.02889317
57,0.0005296981,0.02884229,0.02509375,0.02884229
58,0.0005208296,0.02879613,0.02506491,0.02879613
59,0.0005030363,0.0287557,0.02491291,0.0287557
60,0.0005078128,0.02879342,0.02494494,0.0287557
61,0.0004845501,0.02866484,0.02486485,0.02866484
62,0.0005073864,0.02831399,0.02452927,0.02831399
63,0.0005213082,0.02863467,0.02489467,0.02831399
64,0.0005002029,0.02827164,0.02445194,0.02827164
65,0.0004938042,0.02846278,0.02455263,0.02827164
66,0.0004921705,0.02817526,0.02431447,0.02817526
67,0.0004716606,0.02818496,0.02436618,0.02817526
68,0.0004648996,0.02816212,0.02428216,0.02816212
69,0.0004941626,0.02784136,0.02417969,0.02784136
70,0.0004680983,0.02784666,0.02425132,0.02784136
71,0.0004706531,0.027792,0.02406381,0.027792
72,0.0005231898,0.02788342,0.02412339,0.027792
73,0.0005024132,0.02771438,0.02395844,0.02771438
74,0.0005000157,0.02770595,0.02399186,0.02770595
75,0.000473449,0.02755366,0.02391273,0.02755366
76,0.0004628557,0.02758367,0.02387138,0.02755366
77,0.0004642264,0.02766111,0.0235776,0.02755366
78,0.0004651709,0.02746492,0.02360567,0.02746492
79,0.000461102,0.02733855,0.02355009,0.02733855
80,0.0004431417,0.02741512,0.02350316,0.02733855
81,0.000472631,0.0271453,0.02362952,0.0271453
82,0.0004909574,0.0271154,0.02339281,0.0271154
83,0.0004424135,0.027235,0.02344619,0.0271154
84,0.0004607726,0.02718405,0.02344773,0.0271154
85,0.0004714657,0.02713387,0.02334799,0.0271154
86,0.0004665914,0.02708054,0.0232372,0.02708054
87,0.0004520965,0.02700143,0.0230853,0.02700143
88,0.000484205,0.02699603,0.02309135,0.02699603
89,0.0004534688,0.0271351,0.02315553,0.02699603
90,0.0004574144,0.02699677,0.02287699,0.02699603
91,0.0004449154,0.02698505,0.02290783,0.02698505
92,0.0004964597,0.0266507,0.02275851,0.0266507
93,0.0004503806,0.02659688,0.0228958,0.02659688
94,0.0004386097,0.02667273,0.02281014,0.02659688
95,0.0004333111,0.02674931,0.0228062,0.02659688
96,0.0004571462,0.02659291,0.02287858,0.02659291
97,0.0004388984,0.02648437,0.02280887,0.02648437
98,0.0004476399,0.02653609,0.02266866,0.02648437
99,0.0004320179,0.02647746,0.02263828,0.02647746
100,0.0004682565,0.02658161,0.02277054,0.02647746
101,0.0004506575,0.02628518,0.02272648,0.02628518
102,0.0004412839,0.02620387,0.02246183,0.02620387
103,0.0004415351,0.0262654,0.02256114,0.02620387
104,0.0004299761,0.02619256,0.02256164,0.02619256
105,0.000426306,0.02600395,0.02227671,0.02600395
106,0.0004686614,0.02602807,0.02225409,0.02600395
107,0.0004152713,0.02598721,0.0223414,0.02598721
108,0.0004756963,0.02593316,0.02238503,0.02593316
109,0.0004327408,0.02616147,0.0222696,0.02593316
110,0.0004539472,0.02593847,0.0222845,0.02593316
111,0.000425126,0.0260948,0.02207953,0.02593316
112,0.0004350256,0.02590261,0.02208806,0.02590261
113,0.0004374967,0.02584231,0.02216483,0.02584231
114,0.0004362815,0.02569548,0.0222264,0.02569548
115,0.0004403035,0.02578014,0.02210925,0.02569548
116,0.0004356844,0.02597205,0.02186554,0.02569548
117,0.0004448815,0.02575997,0.02201467,0.02569548
118,0.0004350585,0.02571188,0.02194563,0.02569548
119,0.0003991584,0.02572858,0.02194137,0.02569548
120,0.0004172991,0.02556421,0.02190052,0.02556421
121,0.0004231254,0.02557227,0.02173772,0.02556421
122,0.0004099376,0.02568638,0.02172747,0.02556421
123,0.0004785127,0.02561853,0.02188678,0.02556421
124,0.0004141084,0.02547074,0.02170366,0.02547074
125,0.0004384896,0.02556522,0.02175637,0.02547074
126,0.0004098455,0.0254528,0.02176191,0.0254528
127,0.0004246225,0.02528034,0.02160692,0.02528034
128,0.0004334875,0.02543493,0.02164178,0.02528034
129,0.0004149424,0.02532724,0.02164444,0.02528034
130,0.000420219,0.02541759,0.02164368,0.02528034
131,0.0004350791,0.02544585,0.02136238,0.02528034
132,0.0004202767,0.02517127,0.02139156,0.02517127
133,0.0004065824,0.02548281,0.02150524,0.02517127
134,0.0004266227,0.02522082,0.02142241,0.02517127
135,0.0004288019,0.02528541,0.02145383,0.02517127
136,0.0003961375,0.025116,0.02126138,0.025116
137,0.0004500697,0.02528242,0.02156408,0.025116
138,0.0004064841,0.0250831,0.02123384,0.0250831
139,0.0004159923,0.02519179,0.02123927,0.0250831
140,0.0004011407,0.02498188,0.02120943,0.02498188
141,0.0004442027,0.02493318,0.02130486,0.02493318
142,0.0004360372,0.02497442,0.0211842,0.02493318
143,0.0004023351,0.02499051,0.02102582,0.02493318
144,0.0004090169,0.02510221,0.02131933,0.02493318
145,0.0004022888,0.02497091,0.02110896,0.02493318
146,0.0004384024,0.02500551,0.02111511,0.02493318
147,0.0004058676,0.02483658,0.02113731,0.02483658
148,0.0003992918,0.02490999,0.02109215,0.02483658
149,0.0004480733,0.02502828,0.0210603,0.02483658
150,0.0003989355,0.02477646,0.02101659,0.02477646
151,0.0004201623,0.02472572,0.02103036,0.02472572
152,0.0004313395,0.02483981,0.02123463,0.02472572
153,0.0004012515,0.02467656,0.02082767,0.02467656
154,0.0004164247,0.0247519,0.02095504,0.02467656
155,0.000419145,0.02469171,0.02088448,0.02467656
156,0.0004029863,0.02453086,0.02086039,0.02453086
157,0.0004003226,0.02467609,0.02088536,0.02453086
158,0.0004180719,0.02471825,0.02086695,0.02453086
159,0.0004105572,0.02470291,0.02080177,0.02453086
160,0.0004146325,0.02452441,0.02078628,0.02452441
161,0.0004049229,0.02455127,0.02079363,0.02452441
162,0.0004045843,0.02436746,0.02070254,0.02436746
163,0.000381983,0.0245407,0.02066603,0.02436746
164,0.0004005268,0.02456286,0.02074964,0.02436746
165,0.0003972268,0.02441365,0.02066655,0.02436746
166,0.0004071952,0.02437425,0.02073921,0.02436746
167,0.000444031,0.02440925,0.02059011,0.02436746
168,0.0004198739,0.02433054,0.02070842,0.02433054
169,0.0003962426,0.02444506,0.02067723,0.02433054
170,0.0004142743,0.02445043,0.02053923,0.02433054
171,0.0004057215,0.02434211,0.02063833,0.02433054
172,0.0004403272,0.02446489,0.02046626,0.02433054
173,0.0003942445,0.02448862,0.0205363,0.02433054
174,0.0003837811,0.0242835,0.02051437,0.0242835
175,0.0004021917,0.02429131,0.02037158,0.0242835
176,0.0004244677,0.02433237,0.02064854,0.0242835
177,0.0004301182,0.0245297,0.02060742,0.0242835
178,0.0004564775,0.0241513,0.02059488,0.0241513
179,0.000385583,0.02426343,0.02034272,0.0241513
180,0.0003854739,0.02410737,0.02037192,0.02410737
181,0.0004248885,0.0242032,0.02040456,0.02410737
182,0.0003988981,0.02420036,0.02056227,0.02410737
183,0.000375111,0.02405782,0.02023664,0.02405782
184,0.0003900152,0.02396845,0.02032971,0.02396845
185,0.0004168407,0.02404244,0.0202133,0.02396845
186,0.000383249,0.02410039,0.02041249,0.02396845
187,0.0003970312,0.02398055,0.02016965,0.02396845
188,0.0003949815,0.02400489,0.02042705,0.02396845
189,0.0004047203,0.0241773,0.02036074,0.02396845
190,0.0003892018,0.02390281,0.02011576,0.02390281
191,0.0004093155,0.02398776,0.02010387,0.02390281
192,0.0003903708,0.02402951,0.0202767,0.02390281
193,0.0004130873,0.02390767,0.02017915,0.02390281
194,0.0004098669,0.0239912,0.02015421,0.02390281
195,0.0004022553,0.02386392,0.02002728,0.02386392
196,0.000421621,0.02388501,0.02026027,0.02386392
197,0.0004015057,0.02385452,0.02016636,0.02385452
198,0.0003941087,0.02399162,0.02009897,0.02385452
199,0.0003995334,0.02376918,0.02002251,0.02376918
200,0.0003880887,0.02388051,0.0200167,0.02376918
