n,train,val,test,best_val
0,2.562418,2.57697,2.583229,2.57697
1,0.05686085,0.0806472,0.0962754,0.0806472
2,0.01256218,0.03136462,0.03728212,0.03136462
3,0.004845467,0.02024473,0.02472704,0.02024473
4,0.002958838,0.01715728,0.02051134,0.01715728
5,0.002313423,0.01547488,0.01850408,0.01547488
6,0.001643677,0.0144691,0.01720788,0.0144691
7,0.001385391,0.01393028,0.01615611,0.01393028
8,0.001279769,0.01368576,0.01582626,0.01368576
9,0.001138163,0.01328465,0.01542984,0.01328465
10,0.001230922,0.01323718,0.0152127,0.01323718
11,0.0009633262,0.01297403,0.01480085,0.01297403
12,0.0009559605,0.01293535,0.01487366,0.01293535
13,0.0008863603,0.01279285,0.01460792,0.01279285
14,0.0009587234,0.01268455,0.01467727,0.01268455
15,0.0009040742,0.01285116,0.01422972,0.01268455
16,0.0007944179,0.01268803,0.01420617,0.01268455
17,0.0009412014,0.01291982,0.01431194,0.01268455
18,0.0009210245,0.0127585,0.01428214,0.01268455
19,0.0008270556,0.01283479,0.01439843,0.01268455
20,0.0008403583,0.01285545,0.01428077,0.01268455
21,0.0009021708,0.01287776,0.01412293,0.01268455
22,0.0009775332,0.01299668,0.01440733,0.01268455
23,0.000871972,0.01257848,0.01406014,0.01257848
24,0.0008085085,0.01268877,0.01405464,0.01257848
25,0.0008202031,0.01276013,0.01416607,0.01257848
26,0.0009044899,0.01267321,0.01409628,0.01257848
27,0.000808852,0.01256132,0.0139441,0.01256132
28,0.0009727879,0.01277315,0.01400396,0.01256132
29,0.0008136169,0.01256752,0.01433004,0.01256132
30,0.001083372,0.01295475,0.01431205,0.01256132
31,0.0008560814,0.012416,0.01403272,0.012416
32,0.0007639396,0.01251502,0.01370875,0.012416
33,0.0008259683,0.01240821,0.01398701,0.01240821
34,0.0009200056,0.01272254,0.01392203,0.01240821
35,0.0007486675,0.01266723,0.01405517,0.01240821
36,0.0007348118,0.01233975,0.01373586,0.01233975
37,0.0008605998,0.01253105,0.01390945,0.01233975
38,0.0007164352,0.01257151,0.01373002,0.01233975
39,0.001242724,0.01268171,0.01413127,0.01233975
40,0.0008335258,0.01197091,0.01404411,0.01197091
41,0.0007247455,0.01206749,0.01382198,0.01197091
42,0.0007286546,0.01197142,0.01397613,0.01197091
43,0.0009101553,0.01255734,0.0141017,0.01197091
44,0.0006686142,0.01206581,0.01369399,0.01197091
45,0.0007858229,0.0118406,0.01367888,0.0118406
46,0.0007263408,0.01181329,0.01383486,0.01181329
47,0.0006959829,0.01187158,0.0137842,0.01181329
48,0.0007755628,0.01218551,0.01388017,0.01181329
49,0.0007273437,0.01176673,0.0138903,0.01176673
50,0.0008652696,0.01221081,0.01419041,0.01176673
51,0.0006954955,0.01178029,0.01363875,0.01176673
52,0.0006848977,0.01203813,0.01372794,0.01176673
53,0.0007370155,0.01177647,0.01364,0.01176673
54,0.0006127707,0.01163542,0.01346843,0.01163542
55,0.0007605636,0.01200427,0.01394054,0.01163542
56,0.0008215907,0.01199887,0.01374976,0.01163542
57,0.0008075591,0.01199464,0.01384492,0.01163542
58,0.0006822701,0.01166102,0.01347719,0.01163542
59,0.0006659384,0.011491,0.0135365,0.011491
60,0.0007361121,0.01157431,0.01378204,0.011491
61,0.0007374768,0.0117972,0.01412205,0.011491
62,0.0006474559,0.01123288,0.01351094,0.01123288
63,0.0005810368,0.01148938,0.01354725,0.01123288
64,0.0007881464,0.01182847,0.01389799,0.01123288
65,0.0006300122,0.01147236,0.01366171,0.01123288
66,0.0006388452,0.01163359,0.01368448,0.01123288
67,0.0006994226,0.01168329,0.01388621,0.01123288
68,0.0006285941,0.01168807,0.01375488,0.01123288
69,0.0006249672,0.01155384,0.01361196,0.01123288
70,0.0006295144,0.01148434,0.01370167,0.01123288
71,0.0007477188,0.01174781,0.01385821,0.01123288
72,0.0005890737,0.01145998,0.01344782,0.01123288
73,0.0005988078,0.01129246,0.01344178,0.01123288
74,0.0004365126,0.01134452,0.01351136,0.01123288
75,0.0004201465,0.01132814,0.01343462,0.01123288
76,0.0004111105,0.01123417,0.01351547,0.01123288
77,0.0004066929,0.01131235,0.01362928,0.01123288
78,0.00040256,0.01130344,0.01355282,0.01123288
79,0.0004618644,0.01137485,0.01365786,0.01123288
80,0.0004145828,0.01136666,0.01364807,0.01123288
81,0.0004095404,0.01138245,0.01371171,0.01123288
82,0.0004149273,0.01137251,0.0137562,0.01123288
83,0.0004301945,0.01149987,0.01368873,0.01123288
84,0.0004109489,0.01128048,0.0137835,0.01123288
