n,train,val,test,best_val
0,0.9263082,0.9210018,0.8897632,0.9210018
1,0.008849371,0.01082723,0.00805814,0.01082723
2,0.004010982,0.005334475,0.00473726,0.005334475
3,0.002951294,0.004346286,0.003746735,0.004346286
4,0.001472172,0.002556023,0.002212408,0.002556023
5,0.002077175,0.003513227,0.002712758,0.002556023
6,0.001451602,0.002440785,0.002028425,0.002440785
7,0.001276657,0.002265376,0.001706776,0.002265376
8,0.001706242,0.002927125,0.002316071,0.002265376
9,0.00168608,0.003107934,0.002095605,0.002265376
10,0.001379852,0.002611897,0.002193935,0.002265376
11,0.001448476,0.002677639,0.002212785,0.002265376
12,0.001525058,0.002865221,0.002314098,0.002265376
13,0.001331929,0.002611842,0.001932461,0.002265376
14,0.001206547,0.00276233,0.002015347,0.002265376
15,0.001687366,0.002807459,0.0019805,0.002265376
16,0.002242792,0.003456989,0.003092096,0.002265376
17,0.002297102,0.004076486,0.002946941,0.002265376
18,0.0009616273,0.002461791,0.001573278,0.002265376
19,0.0004388774,0.001901903,0.00120329,0.001901903
20,0.0004248034,0.001760228,0.001182577,0.001760228
21,0.0004115005,0.001768028,0.001135476,0.001760228
22,0.0005054689,0.001815251,0.001233281,0.001760228
23,0.0004762003,0.001769018,0.001238007,0.001760228
24,0.0003870779,0.001602004,0.001081673,0.001602004
25,0.000440819,0.00167049,0.001145157,0.001602004
26,0.0004499911,0.001626416,0.001119546,0.001602004
27,0.0004323179,0.001593913,0.00102485,0.001593913
28,0.0004771208,0.001686124,0.001168197,0.001593913
29,0.0003913363,0.001592964,0.001068406,0.001592964
30,0.0004776802,0.001660339,0.001162605,0.001592964
31,0.0005234414,0.00171834,0.0011752,0.001592964
32,0.000500803,0.001645546,0.001174781,0.001592964
33,0.0005637095,0.001700489,0.001228273,0.001592964
34,0.0004303642,0.001604983,0.001029793,0.001592964
35,0.0004590334,0.001622471,0.001143683,0.001592964
36,0.0004805155,0.001582919,0.001067226,0.001582919
37,0.0003672525,0.00143516,0.001013086,0.00143516
38,0.0004504391,0.001577018,0.001176898,0.00143516
39,0.0005677683,0.001664477,0.00111422,0.00143516
40,0.0004130346,0.001634731,0.001110177,0.00143516
41,0.0004086327,0.001615145,0.001069842,0.00143516
42,0.0004432123,0.001532597,0.0010573,0.00143516
43,0.0004728284,0.001593579,0.00116774,0.00143516
44,0.0004020762,0.001557625,0.001087959,0.00143516
45,0.0003909698,0.001579282,0.001039304,0.00143516
46,0.0004307017,0.001514031,0.001092223,0.00143516
47,0.0004317019,0.001687073,0.001105371,0.00143516
48,0.0004206176,0.001605381,0.001108337,0.00143516
49,0.000325394,0.001476364,0.0009963036,0.00143516
50,0.0003078163,0.001434211,0.0009730959,0.001434211
51,0.0003050648,0.00144238,0.0009836897,0.001434211
52,0.0003131844,0.001446625,0.0009939032,0.001434211
53,0.0003353246,0.001455475,0.0009745446,0.001434211
54,0.0003127866,0.001430005,0.0009575382,0.001430005
55,0.0003074229,0.001417484,0.0009650408,0.001417484
56,0.0003316354,0.001421765,0.0009582428,0.001417484
57,0.0003112414,0.001397717,0.0009494608,0.001397717
58,0.0003082888,0.001407871,0.0009464805,0.001397717
59,0.0003133484,0.001383201,0.0009668555,0.001383201
60,0.0003076918,0.001400382,0.0009656228,0.001383201
61,0.0003120482,0.001392058,0.0009094479,0.001383201
62,0.0003194987,0.001338085,0.0009123324,0.001338085
63,0.0003012349,0.00134759,0.0009125975,0.001338085
64,0.0003133306,0.001399857,0.0009450721,0.001338085
65,0.0002983724,0.001351308,0.0008879329,0.001338085
66,0.0003076316,0.001351036,0.0009214231,0.001338085
67,0.0003092054,0.001369261,0.0008979168,0.001338085
68,0.0003104303,0.001343099,0.0009265875,0.001338085
69,0.0003372275,0.001359689,0.0009301913,0.001338085
70,0.0003189689,0.001357075,0.0009203609,0.001338085
71,0.0003003012,0.001348076,0.0008869021,0.001338085
72,0.0003068623,0.001350541,0.0009319804,0.001338085
73,0.0003017765,0.001321225,0.0009181906,0.001321225
74,0.0002981459,0.001308195,0.0008726909,0.001308195
75,0.0003054217,0.001341403,0.0009289728,0.001308195
76,0.0002981848,0.001304192,0.0009056439,0.001304192
77,0.0003178301,0.001305246,0.0009061934,0.001304192
78,0.0003172308,0.001339263,0.0009075066,0.001304192
79,0.00030013,0.001269778,0.0008897211,0.001269778
80,0.0003113176,0.001286183,0.0009169126,0.001269778
81,0.0003878971,0.001377344,0.00098536,0.001269778
82,0.0003109062,0.001269321,0.0008497251,0.001269321
83,0.0003098636,0.001297576,0.0008690077,0.001269321
84,0.0002934922,0.001254721,0.0008900705,0.001254721
85,0.0002988293,0.001253846,0.0008481655,0.001253846
86,0.0002918233,0.001278906,0.0008479571,0.001253846
87,0.0003368427,0.001267234,0.0008901493,0.001253846
88,0.0003040318,0.00129969,0.0008965018,0.001253846
89,0.0002970899,0.001278448,0.0008807285,0.001253846
90,0.0002995519,0.001282904,0.0008874389,0.001253846
91,0.0003093622,0.001284584,0.0008408287,0.001253846
92,0.0003255391,0.001306008,0.0009248593,0.001253846
93,0.0002911861,0.001238339,0.0008422036,0.001238339
94,0.0002941577,0.001218682,0.0008400895,0.001218682
95,0.0003019272,0.001260998,0.0008662681,0.001218682
96,0.0003027373,0.001256275,0.0009024707,0.001218682
97,0.0002985852,0.001240985,0.0008715158,0.001218682
98,0.0003006242,0.001238883,0.0008733826,0.001218682
99,0.00029065,0.001263489,0.0008707333,0.001218682
100,0.0003719911,0.001322959,0.0009818481,0.001218682
101,0.0003291066,0.001322404,0.0009028776,0.001218682
102,0.0003076254,0.001241998,0.0008361465,0.001218682
103,0.0002924625,0.001272185,0.0008725438,0.001218682
104,0.0002993644,0.001266993,0.0008960216,0.001218682
105,0.0003114578,0.001275661,0.0009094436,0.001218682
106,0.0002771966,0.001218906,0.0008332444,0.001218682
107,0.0002772166,0.001226077,0.0008381405,0.001218682
108,0.0002857788,0.001212329,0.0008360316,0.001212329
109,0.0002770314,0.001203533,0.000823596,0.001203533
110,0.0002769296,0.00121017,0.000818994,0.001203533
111,0.0002857283,0.001214625,0.0008303478,0.001203533
112,0.000273867,0.001211278,0.0008384465,0.001203533
