n,train,val,test,best_val
0,0.9602888,0.948542,0.9522341,0.948542
1,0.005354449,0.006384545,0.005873711,0.006384545
2,0.001328192,0.002175481,0.002340316,0.002175481
3,0.0007351745,0.001274446,0.00155922,0.001274446
4,0.000599556,0.001072515,0.001376428,0.001072515
5,0.0005393471,0.0009355377,0.001337743,0.0009355377
6,0.0005001707,0.000881817,0.001211544,0.000881817
7,0.000514303,0.0008708037,0.001246188,0.0008708037
8,0.0004302825,0.000792914,0.001137967,0.000792914
9,0.0005212864,0.0008809252,0.001190341,0.000792914
10,0.0004767038,0.0008174734,0.001090361,0.000792914
11,0.0004722864,0.0008298342,0.00109806,0.000792914
12,0.0004648119,0.0008247251,0.001101107,0.000792914
13,0.0005633822,0.0009277605,0.001265194,0.000792914
14,0.000535592,0.0009163372,0.001143528,0.000792914
15,0.0005601675,0.0009841995,0.001175665,0.000792914
16,0.0005197285,0.0009286976,0.001267375,0.000792914
17,0.000490211,0.0008921689,0.001165746,0.000792914
18,0.0006119967,0.001006284,0.001278076,0.000792914
19,0.0005058553,0.0009396724,0.001274481,0.000792914
20,0.0003630692,0.000766807,0.001052766,0.000766807
21,0.0003469977,0.0007244014,0.001055184,0.0007244014
22,0.0003385875,0.0007204295,0.001019557,0.0007204295
23,0.0003461755,0.0007153002,0.001030664,0.0007153002
24,0.0003888877,0.0007681485,0.001087258,0.0007153002
25,0.0003394906,0.0007198727,0.001000048,0.0007153002
26,0.0003483815,0.0007074279,0.001014608,0.0007074279
27,0.0003444301,0.0006981351,0.001035164,0.0006981351
28,0.0003470114,0.0007451269,0.001030305,0.0006981351
29,0.0003488869,0.000711827,0.00103632,0.0006981351
30,0.0003567402,0.0007527056,0.001028704,0.0006981351
31,0.0003579174,0.0007343471,0.001039955,0.0006981351
32,0.0003384075,0.0006947188,0.001018772,0.0006947188
33,0.0003667782,0.0007661713,0.001024353,0.0006947188
34,0.0003785889,0.0007537259,0.001074933,0.0006947188
35,0.0003534728,0.0007333629,0.001018453,0.0006947188
36,0.0003806183,0.0007821727,0.001061499,0.0006947188
37,0.0003311213,0.0006999104,0.001013045,0.0006947188
38,0.0003711336,0.0007915943,0.001076532,0.0006947188
39,0.0003511417,0.0007465008,0.001064682,0.0006947188
40,0.0003583452,0.0007472678,0.00105587,0.0006947188
41,0.0003423928,0.000740728,0.001079483,0.0006947188
42,0.0003872494,0.0007775575,0.001097417,0.0006947188
43,0.0003430262,0.0007327577,0.001058857,0.0006947188
44,0.0003156869,0.0007166018,0.001030264,0.0006947188
45,0.0003148746,0.0007111181,0.001027396,0.0006947188
46,0.0003150926,0.0007143151,0.001028393,0.0006947188
47,0.0003145734,0.0007261523,0.001038063,0.0006947188
48,0.0003278623,0.0007380086,0.001041597,0.0006947188
49,0.0003163971,0.0007001056,0.001042892,0.0006947188
50,0.0003144677,0.000718933,0.001011023,0.0006947188
