n,train,val,test,best_val
0,4.304453,4.322652,4.244262,4.322652
1,0.5854049,0.470255,0.925789,0.470255
2,0.3805824,0.5476054,0.6730692,0.470255
3,0.2001578,0.3817847,0.4003474,0.3817847
4,0.07406265,0.1403349,0.2956363,0.1403349
5,0.1048699,0.1350484,0.3660745,0.1350484
6,0.2101967,0.3771599,0.5566744,0.1350484
7,0.09557122,0.1140531,0.427484,0.1140531
8,0.07391673,0.1286658,0.300276,0.1140531
9,0.1360153,0.2400414,0.3930822,0.1140531
10,0.07534123,0.1140023,0.3414113,0.1140023
11,0.1220019,0.1468874,0.3550604,0.1140023
12,0.05442855,0.08248047,0.3466479,0.08248047
13,0.04094757,0.0708163,0.3791869,0.0708163
14,0.03497967,0.06805981,0.3480152,0.06805981
15,0.03167307,0.05850931,0.3170732,0.05850931
16,0.02816556,0.06144714,0.2889978,0.05850931
17,0.08375481,0.1873557,0.3632095,0.05850931
18,0.05270124,0.07931746,0.4257213,0.05850931
19,0.1067065,0.2225126,0.3398709,0.05850931
20,0.02823492,0.05330721,0.2805306,0.05330721
21,0.0437738,0.113799,0.2911554,0.05330721
22,0.02167403,0.07316816,0.3203393,0.05330721
23,0.02034716,0.0514259,0.2779621,0.0514259
24,0.0627251,0.1186792,0.3474778,0.0514259
25,0.03808905,0.05729465,0.2870816,0.0514259
26,0.06343275,0.1674981,0.2897046,0.0514259
27,0.02023472,0.06005027,0.3270651,0.0514259
28,0.05430043,0.09497859,0.3401615,0.0514259
29,0.03184943,0.0677124,0.4234644,0.0514259
30,0.01825194,0.06093986,0.2979025,0.0514259
31,0.07986826,0.109655,0.3857532,0.0514259
32,0.1030478,0.2058333,0.3459471,0.0514259
33,0.02250854,0.05210085,0.2673736,0.0514259
34,0.05108022,0.1309108,0.3331655,0.0514259
35,0.03233441,0.1018021,0.3190238,0.0514259
36,0.00994283,0.04786873,0.2896225,0.04786873
37,0.01570148,0.05901825,0.2804755,0.04786873
38,0.01033913,0.04761914,0.2869917,0.04761914
39,0.01780621,0.06772914,0.3039638,0.04761914
40,0.009314721,0.04659199,0.2657799,0.04659199
41,0.009737251,0.04741074,0.2665934,0.04659199
42,0.01913383,0.07614745,0.2801927,0.04659199
43,0.01103145,0.04981546,0.2539915,0.04659199
44,0.008924517,0.04446702,0.2551162,0.04446702
45,0.009459875,0.05187042,0.2445145,0.04446702
46,0.01674291,0.0469611,0.2725816,0.04446702
47,0.01232661,0.04659963,0.2829226,0.04446702
48,0.01718741,0.05775923,0.2764507,0.04446702
49,0.02441326,0.08090382,0.2583572,0.04446702
50,0.008240813,0.04226426,0.2485447,0.04226426
51,0.01303368,0.05641392,0.2547287,0.04226426
52,0.01072889,0.04182226,0.2623316,0.04182226
53,0.01038176,0.05518506,0.2468542,0.04182226
54,0.008938268,0.044395,0.2310287,0.04182226
55,0.01171412,0.04119835,0.2320021,0.04119835
56,0.01602891,0.05841677,0.2380231,0.04119835
57,0.009768017,0.04212188,0.2226878,0.04119835
58,0.007893004,0.04030659,0.2296885,0.04030659
59,0.008542799,0.04544441,0.2389714,0.04030659
60,0.009811856,0.04295258,0.2571525,0.04030659
61,0.01110627,0.05642714,0.2485391,0.04030659
62,0.01104334,0.04757451,0.2442105,0.04030659
63,0.01322158,0.04703507,0.2266932,0.04030659
64,0.01066978,0.05299741,0.2366536,0.04030659
65,0.00749768,0.04275022,0.2219398,0.04030659
66,0.02009409,0.06692515,0.2576609,0.04030659
67,0.01216494,0.05416459,0.2277137,0.04030659
68,0.009986668,0.05201735,0.2410522,0.04030659
69,0.007131139,0.04245386,0.2444108,0.04030659
70,0.007348348,0.04503321,0.2346777,0.04030659
71,0.006352039,0.04140319,0.2311677,0.04030659
72,0.006679233,0.04059209,0.2422987,0.04030659
73,0.006522783,0.0425647,0.2311585,0.04030659
74,0.006591158,0.0446355,0.2185256,0.04030659
75,0.006536645,0.04119686,0.2239793,0.04030659
76,0.006148119,0.04185467,0.2357318,0.04030659
77,0.006894671,0.0460245,0.2256855,0.04030659
78,0.006472028,0.04030154,0.2298028,0.04030154
79,0.005938886,0.0398293,0.2222828,0.0398293
80,0.006143572,0.04295463,0.219277,0.0398293
81,0.007131206,0.04493236,0.2303342,0.0398293
82,0.006241572,0.04143456,0.2260506,0.0398293
83,0.007000562,0.04220222,0.2272461,0.0398293
84,0.005830505,0.04006125,0.2355042,0.0398293
85,0.006504908,0.04095756,0.2297301,0.0398293
86,0.006477857,0.0410894,0.2273773,0.0398293
87,0.00637246,0.04369986,0.2376334,0.0398293
88,0.007022631,0.04159252,0.2241485,0.0398293
89,0.008483704,0.04453232,0.2406859,0.0398293
90,0.007433699,0.04779287,0.2309517,0.0398293
91,0.005613685,0.04158656,0.2278323,0.0398293
92,0.005750087,0.04153876,0.2279257,0.0398293
93,0.005498205,0.04228485,0.2294269,0.0398293
94,0.00586385,0.04235161,0.230769,0.0398293
95,0.005428523,0.04204835,0.225329,0.0398293
96,0.005537311,0.04067767,0.2298256,0.0398293
97,0.006092227,0.04206315,0.2323402,0.0398293
98,0.005592923,0.04196697,0.2237386,0.0398293
99,0.00576139,0.0425531,0.2311999,0.0398293
100,0.005494575,0.04027902,0.2351506,0.0398293
101,0.005506414,0.04339283,0.2262102,0.0398293
