n,train,val,test,best_val
0,4.225977,4.273452,4.331549,4.273452
1,0.4151131,0.4334882,0.4346976,0.4334882
2,0.1846621,0.214841,0.2076959,0.214841
3,0.2214252,0.2233107,0.2823248,0.214841
4,0.2257449,0.2612746,0.1976002,0.214841
5,0.1559324,0.18652,0.112357,0.18652
6,0.1039589,0.1370317,0.1352472,0.1370317
7,0.2356547,0.2758339,0.1721518,0.1370317
8,0.05323911,0.1210299,0.1025244,0.1210299
9,0.04045517,0.10584,0.06544318,0.10584
10,0.03781254,0.1039677,0.05679764,0.1039677
11,0.06949662,0.1500238,0.09669451,0.1039677
12,0.03359375,0.09349876,0.06708304,0.09349876
13,0.04187632,0.1179134,0.08877803,0.09349876
14,0.04397055,0.1263412,0.07713106,0.09349876
15,0.04303906,0.1229795,0.09922637,0.09349876
16,0.04425451,0.1256406,0.109949,0.09349876
17,0.1274082,0.24534,0.1393597,0.09349876
18,0.02721391,0.09266891,0.06353891,0.09266891
19,0.05590146,0.1310749,0.1135476,0.09266891
20,0.03522871,0.1292815,0.0751263,0.09266891
21,0.04404861,0.1274644,0.1017224,0.09266891
22,0.05139664,0.1396021,0.08347563,0.09266891
23,0.03877501,0.1588912,0.08773148,0.09266891
24,0.01914658,0.1284248,0.07993959,0.09266891
25,0.04398198,0.1525723,0.1062684,0.09266891
26,0.03309399,0.1613821,0.08543361,0.09266891
27,0.0157073,0.1285802,0.06290011,0.09266891
28,0.06938684,0.2070138,0.114345,0.09266891
29,0.01914609,0.1474504,0.08325677,0.09266891
30,0.01131127,0.1380399,0.07113236,0.09266891
31,0.009674951,0.1389372,0.06941357,0.09266891
32,0.01331815,0.1403992,0.06561509,0.09266891
33,0.008761519,0.1378393,0.07466626,0.09266891
34,0.01473127,0.1365671,0.07507431,0.09266891
35,0.01733978,0.1386953,0.07370618,0.09266891
36,0.01065831,0.149979,0.06831304,0.09266891
37,0.01320992,0.1384807,0.06639382,0.09266891
38,0.009030504,0.1362126,0.06467509,0.09266891
39,0.008005857,0.1369046,0.07156199,0.09266891
40,0.01030073,0.1411414,0.07131508,0.09266891
41,0.007627779,0.136049,0.06958193,0.09266891
42,0.006632714,0.1377236,0.06691193,0.09266891
43,0.007271555,0.1337944,0.06819737,0.09266891
