n,train,val,test,best_val
0,4.125506,4.167213,4.166549,4.167213
1,0.3417888,0.3604278,0.4496509,0.3604278
2,0.1389015,0.1791735,0.1931999,0.1791735
3,0.1906241,0.2331189,0.2934853,0.1791735
4,0.05840954,0.1026253,0.09658635,0.1026253
5,0.06390296,0.08773873,0.0950595,0.08773873
6,0.08571697,0.1134339,0.0944378,0.08773873
7,0.0363264,0.04679769,0.0610092,0.04679769
8,0.06370126,0.1175388,0.1125933,0.04679769
9,0.03378821,0.05447307,0.07573428,0.04679769
10,0.04392974,0.0763163,0.0698072,0.04679769
11,0.1074098,0.1052349,0.1220864,0.04679769
12,0.03413221,0.05313462,0.0629122,0.04679769
13,0.04849302,0.05747419,0.0890927,0.04679769
14,0.07500832,0.09290468,0.0896875,0.04679769
15,0.0450814,0.06825586,0.1342499,0.04679769
16,0.09292988,0.1317087,0.1433932,0.04679769
17,0.01448752,0.04147921,0.04612684,0.04147921
18,0.02929145,0.05486247,0.07621233,0.04147921
19,0.03355646,0.05457596,0.1030017,0.04147921
20,0.06512037,0.088311,0.09666088,0.04147921
21,0.05368472,0.09568402,0.1128153,0.04147921
22,0.03237325,0.06933589,0.08170848,0.04147921
23,0.01731743,0.05356277,0.06089164,0.04147921
24,0.01904609,0.04730992,0.0673336,0.04147921
25,0.01402783,0.05189775,0.04685534,0.04147921
26,0.01767433,0.04922464,0.04926223,0.04147921
27,0.03255801,0.08479518,0.1060351,0.04147921
28,0.01166168,0.0443851,0.050035,0.04147921
29,0.009761849,0.04490766,0.04568586,0.04147921
30,0.009812697,0.04261197,0.04629314,0.04147921
31,0.01015713,0.04659207,0.04309244,0.04147921
32,0.01145809,0.04033814,0.05184896,0.04033814
33,0.009544468,0.04467902,0.04902588,0.04033814
34,0.008281006,0.04594783,0.04324292,0.04033814
35,0.009888744,0.04587853,0.04141613,0.04033814
36,0.0119282,0.04486134,0.04856104,0.04033814
37,0.009134628,0.0411632,0.03738148,0.04033814
38,0.01037156,0.0373246,0.04168334,0.0373246
39,0.0132383,0.05058825,0.04505376,0.0373246
40,0.008441703,0.04204609,0.04849256,0.0373246
41,0.009272262,0.0404766,0.05302712,0.0373246
42,0.008864433,0.04348498,0.03794158,0.0373246
43,0.009495376,0.04766159,0.0443547,0.0373246
44,0.008255955,0.04052887,0.04283052,0.0373246
45,0.00916375,0.03933867,0.04259508,0.0373246
46,0.009668419,0.03754604,0.04432882,0.0373246
47,0.008338828,0.03798446,0.03848699,0.0373246
48,0.009409335,0.039538,0.04333639,0.0373246
49,0.007450112,0.03812482,0.0421207,0.0373246
50,0.008013365,0.03666666,0.03965283,0.03666666
51,0.007199054,0.03918399,0.03867594,0.03666666
52,0.007768086,0.04043602,0.03978325,0.03666666
53,0.006838863,0.03729174,0.03950583,0.03666666
54,0.009519134,0.0368227,0.04150069,0.03666666
55,0.006802674,0.03822151,0.0411267,0.03666666
56,0.006841212,0.03649094,0.04188998,0.03649094
57,0.007772599,0.0418475,0.04081984,0.03649094
58,0.007576182,0.03604629,0.04379438,0.03604629
59,0.00714399,0.03705597,0.03831533,0.03604629
60,0.006962351,0.03896851,0.03808291,0.03604629
61,0.006991478,0.03588392,0.04010048,0.03588392
62,0.006736579,0.03701239,0.04175057,0.03588392
63,0.006839483,0.03632774,0.03712883,0.03588392
64,0.006582489,0.03576544,0.03773801,0.03576544
65,0.007955423,0.04052723,0.04204025,0.03576544
66,0.006955361,0.03672647,0.04034069,0.03576544
67,0.007417881,0.03692177,0.0378937,0.03576544
68,0.006993433,0.03646981,0.03972036,0.03576544
69,0.006887417,0.03538766,0.03911716,0.03538766
70,0.007061333,0.03689742,0.03902041,0.03538766
71,0.006568984,0.03721515,0.04046287,0.03538766
72,0.006862407,0.03675165,0.0399777,0.03538766
73,0.008464397,0.04207229,0.04323259,0.03538766
74,0.006580603,0.03683826,0.03831698,0.03538766
75,0.006477312,0.0390205,0.03960991,0.03538766
76,0.007856601,0.04152596,0.04008475,0.03538766
77,0.00650801,0.03506322,0.03888377,0.03506322
78,0.006945707,0.0381437,0.04053647,0.03506322
79,0.008098349,0.04144662,0.04097983,0.03506322
80,0.006843052,0.03670349,0.03995856,0.03506322
81,0.00630927,0.0363949,0.04024327,0.03506322
82,0.006733736,0.03726491,0.04140719,0.03506322
83,0.006610608,0.03431577,0.04202223,0.03431577
84,0.006560362,0.03734694,0.04388416,0.03431577
85,0.006791367,0.03470337,0.04002529,0.03431577
86,0.00684654,0.03959579,0.03999532,0.03431577
87,0.006174453,0.03637065,0.03990369,0.03431577
88,0.007736589,0.03501612,0.03869258,0.03431577
89,0.007237102,0.03363655,0.03976749,0.03363655
90,0.006277431,0.03789454,0.04083905,0.03363655
91,0.007664234,0.03994301,0.04013911,0.03363655
92,0.008006943,0.0431341,0.04347548,0.03363655
93,0.006141476,0.03646644,0.03908457,0.03363655
94,0.00610505,0.03818314,0.04046873,0.03363655
95,0.006070912,0.03639888,0.03963532,0.03363655
96,0.006080156,0.03635697,0.0386692,0.03363655
97,0.006794828,0.03488712,0.03658943,0.03363655
98,0.007190153,0.03461334,0.04043552,0.03363655
99,0.006331985,0.03512393,0.04060527,0.03363655
100,0.006612918,0.03440605,0.03874278,0.03363655
101,0.005925796,0.03696373,0.04343155,0.03363655
102,0.005954841,0.03605147,0.04019063,0.03363655
103,0.006252268,0.03863716,0.04044003,0.03363655
104,0.005803303,0.03592885,0.03791951,0.03363655
105,0.0058937,0.03733221,0.03840585,0.03363655
106,0.006162313,0.03515022,0.03909293,0.03363655
107,0.005946076,0.03568537,0.03903338,0.03363655
108,0.005769743,0.03682997,0.03814238,0.03363655
109,0.005971337,0.03642122,0.03920271,0.03363655
